tweet_id,user,user_id,created_at,text,geo,coordinates,scraped_at
176388694423506946,UdayanMallik,372564654,"2012-03-04 19:28:36+00:00","RT @Youxia88: @UdayanMallik @newtgingrich I tweet for Newt #Gingrich #MyVoteFactor http://t.co/ZDkiArR0 Tweet (cont) http://t.co/2wuQGyVT",None,null,"2012-03-06 01:20:10.760613"
176389072577765376,barrybj711,193731557,"2012-03-04 19:30:06+00:00","'Team Newt' If U Miss Newt On C-SPAN This Morning http://t.co/hqDrHqzK Join 'Team Newt' Bold #250Gas, Jobs & Lower Taxes &lt;Go Viral&gt;",None,null,"2012-03-06 01:20:10.759838"
176389314924642307,RevHomer,73813141,"2012-03-04 19:31:04+00:00","RT @barrybj711: 'Team Newt' If U Miss Newt On C-SPAN This Morning http://t.co/hqDrHqzK Join 'Team Newt' Bold #250Gas, Jobs & Lower Taxes &lt;Go Viral&gt;",None,null,"2012-03-06 01:20:10.758897"
176389319441924096,barrybj711,193731557,"2012-03-04 19:31:05+00:00","'Team Newt' If U Miss Newt On C-SPAN This Morning http://t.co/hqDrHqzK Join 'Team Newt' Bold #250Gas, #NewtJobs & #NewtLowerTaxes &lt;Go Viral&gt;",None,null,"2012-03-06 01:20:10.758115"
176389865729048578,donfarry,277605129,"2012-03-04 19:33:15+00:00","RT @Youxia88: @DLoesch @BarackObama @ericboehlert I tweet for Newt #Gingrich #MyVoteFactor (cont) http://t.co/OdRphKjf",None,null,"2012-03-06 01:20:10.757346"
176389916262014976,conservativecho,390414344,"2012-03-04 19:33:27+00:00","RT @barrybj711: 'Team Newt' If U Miss Newt On C-SPAN This Morning http://t.co/hqDrHqzK Join 'Team Newt' Bold #250Gas, #NewtJobs & #NewtLowerTaxes &lt;Go Viral&g",None,null,"2012-03-06 01:20:10.756436"
176390067240181760,ArmorCavSpin,40334543,"2012-03-04 19:34:03+00:00","RT @barrybj711: 'Team Newt' If U Miss Newt On C-SPAN This Morning http://t.co/hqDrHqzK Join 'Team Newt' Bold #250Gas, #NewtJobs & #NewtLowerTaxes &lt;Go Viral&g",None,null,"2012-03-06 01:20:10.755520"
176390479653519360,donfarry,277605129,"2012-03-04 19:35:42+00:00","RT @barrybj711: 'Team Newt' If U Miss Newt On C-SPAN This Morning http://t.co/hqDrHqzK Join 'Team Newt' Bold #250Gas, Jobs & Lower Taxes &lt;Go Viral&gt;",None,null,"2012-03-06 01:20:10.754740"
176391005015257088,Youxia88,167862232,"2012-03-04 19:37:47+00:00","@amronsomar @youtube I tweet for Newt #Gingrich #MyVoteFactor http://t.co/ZDkiArR0 Tweet Your (cont) http://t.co/mW2LTfF8",None,null,"2012-03-06 01:20:10.753456"
176393033762340864,Youxia88,167862232,"2012-03-04 19:45:51+00:00","@catsune Friend of Israel: I tweet for Newt #Gingrich #MyVoteFactor http://t.co/ZDkiArR0 Tweet (cont) http://t.co/ekAKqhli",None,null,"2012-03-06 01:20:10.752680"
176393799923281921,JimmyBo1313,344990015,"2012-03-04 19:48:53+00:00","RT @barrybj711: 'Team Newt' If U Miss Newt On C-SPAN This Morning http://t.co/hqDrHqzK Join 'Team Newt' Bold #250Gas, #NewtJobs & #NewtLowerTaxes &lt;Go Viral&g",None,null,"2012-03-06 01:20:10.751758"
176397264338698240,ulikemealready,49645847,"2012-03-04 20:02:39+00:00","ihopericksantorum: http://t.co/yPwyWOgC",None,null,"2012-03-06 01:20:04.100052"
176401348877762560,ValpakNH,61882181,"2012-03-04 20:18:53+00:00","Charitable Contributions; Santorum 2%, Newt 2%, R/Paul no taxes - ROMNEY 14%, That's called Walking The Walk, not just talking the talk!",None,null,"2012-03-06 01:20:04.099261"
176402070683918336,mrspostalini,127149892,"2012-03-04 20:21:45+00:00","“@BorowitzReport: BREAKING: Putin Leading With 59%; Ron Paul Vows to Stay in Race”","{u'type': u'Point', u'coordinates': [35.1282,","[35.1282, -89.9854]","2012-03-06 22:20:05.352894"
176403611100782593,melindacoxhall,416318065,"2012-03-04 20:27:52+00:00","@rdanspaugh Ron, #Military #Vets & #Troops need more support #MustFollow @fairy_aware Wife of @Comd_RCN ViceAdmiral Paul Maddison #SOT #PTSD",None,null,"2012-03-06 22:20:05.351982"
